PUA	Unicode	Source
	䉪	客委會認證詞庫
	㞇	客委會認證詞庫
	㮙	客委會認證詞庫
	𠜣	客委會認證詞庫
	𥉔	客委會認證詞庫
	𰮳	客委會認證詞庫
	⿰莫愛	客委會認證詞庫
	槵	客委會認證詞庫
	⿰禾患	客委會認證詞庫
	䱻	客委會認證詞庫
	⿰口鼠	客委會認證詞庫
	𧻙	客委會認證詞庫
	𢯸	客委會認證詞庫
	𪘒	客委會認證詞庫
	𨅔	客委會認證詞庫
	珉	客委會認證詞庫
	姹	客委會認證詞庫
	囱	客委會認證詞庫
	枱	客委會認證詞庫
	𣚭	客委會認證詞庫
	䘵	客委會認證詞庫
	姬	客委會認證詞庫
	㦊	客委會認證詞庫
	㫽	客委會認證詞庫
	㨗	客委會認證詞庫
	䕒	客委會認證詞庫
	亷	客委會認證詞庫
	嬈	客委會認證詞庫
	𨭧	客委會認證詞庫
	烟	客委會認證詞庫
	𦋐	客委會認證詞庫
	鈨	客委會認證詞庫
	鈵	客委會認證詞庫
	鉢	客委會認證詞庫
	㐁	教育部輸入法、文本
	㓾	教育部輸入法、文本
	㗘	教育部輸入法、文本
	㧡	教育部輸入法、文本
	㪐	教育部輸入法、文本
	㬹	教育部輸入法、文本
	㸐	教育部輸入法、文本
	䀯	教育部輸入法、文本
	䟓	教育部輸入法、文本
	䟘	教育部輸入法、文本
	啉	教育部輸入法、文本
	嫲	教育部輸入法、文本
	揞	教育部輸入法、文本
	羴	教育部輸入法、文本
	𠊎	教育部輸入法、文本
	𢫦	教育部輸入法、文本
	𢯭	教育部輸入法、文本
	𢱤	教育部輸入法、文本
	𢳆	教育部輸入法、文本
	𢶀	教育部輸入法、文本
	𣲩	教育部輸入法、文本
	𤸁	教育部輸入法、文本
	𥍉	教育部輸入法、文本
	𥯟	教育部輸入法、文本
	𥯥	教育部輸入法、文本
	𧊅	教育部輸入法、文本
	𧩣	教育部輸入法、文本
	𨃰	教育部輸入法、文本
	𤐰	教育部輸入法、文本
	𢲴	教育部輸入法、文本
	𫣆	教育部輸入法、文本, 客委會認證詞庫
	⿰勿愛	教育部輸入法、文本
	𫝘	教育部輸入法、文本
	⿰出叕	教育部輸入法、文本
	𫠛	教育部輸入法、文本, 客委會認證詞庫
	𬠖	教育部輸入法、文本, 客委會認證詞庫
	𫟧	教育部輸入法、文本, 客委會認證詞庫
	⿰耳休	教育部輸入法、文本
	⿺皮卜	教育部輸入法、文本
	𫠄	教育部輸入法、文本
	𫞭	教育部輸入法、文本
	㼓	教育部輸入法、文本
	𠊎	教育部辭典
	𫣆	教育部辭典
	𢼛	教育部辭典
	𢫦	教育部辭典
	䀴	教育部辭典
	㧡	教育部辭典
	䟓	教育部辭典
	𠲿	教育部辭典
	䞚	教育部辭典
	㬹	教育部辭典
	𢱤	教育部辭典
	𪐞	教育部辭典
	𤞚	教育部辭典
	𧊅	教育部辭典
	𤊶	教育部辭典
	𥯟	教育部辭典
